1007-119,119,1,256,8,YYY,Mechanical,Mechanical Area,Nonassignable,1007
1002-302,302,3,711,23,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-312,312,3,182,6,350,Office Facilities,Conference,College of Arts & Humanities,1002
1002-313,313,3,44,1,315,Office Facilities,Office Service,College of Arts & Humanities,1002
1002-314,314,3,263,8,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-302A,302A,3,134,4,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-302B,302B,3,81,2,315,Office Facilities,Office Service,College of Arts & Humanities,1002
1002-302C,302C,3,102,3,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-302D,302D,3,137,4,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-302E,302E,3,204,6,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-302F,302F,3,172,5,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-302G,302G,3,74,2,315,Office Facilities,Office Service,College of Arts & Humanities,1002
1002-302GG,302GG,3,84,2,315,Office Facilities,Office Service,College of Arts & Humanities,1002
1002-314A,314A,3,202,6,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-314B,314B,3,208,6,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-314C,314C,3,116,3,310,Office Facilities,Office,College of Arts & Humanities,1002
1002-310,310,3,1376,45,310,Office Facilities,Office,College of Social Sciences,1002
1002-310A,310A,3,61,2,315,Office Facilities,Office Service,College of Social Sciences,1002
1002-310AA,310AA,3,96,3,315,Office Facilities,Office Service,College of Social Sciences,1002
1002-310B,310B,3,194,6,310,Office Facilities,Office,College of Social Sciences,1002
1002-310C,310C,3,108,3,310,Office Facilities,Office,College of Social Sciences,1002
1002-310D,310D,3,226,7,310,Office Facilities,Office,College of Social Sciences,1002
1002-310E,310E,3,219,7,310,Office Facilities,Office,College of Social Sciences,1002
1002-310F,310F,3,196,6,350,Office Facilities,Conference,College of Social Sciences,1002
1002-310FA,310FA,3,6,0,315,Office Facilities,Office Service,College of Social Sciences,1002
1002-106,106,1,38,1,YYY,Mechanical,Mechanical Area,Nonassignable,1002
1002-128,128,1,178,5,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-129,129,1,178,5,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-130,130,1,75,2,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-131,131,1,221,7,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-132,132,1,235,7,YYY,Mechanical,Mechanical Area,Nonassignable,1002
1002-203,203,2,168,5,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-204,204,2,163,5,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-205,205,2,40,1,YYY,Mechanical,Mechanical Area,Nonassignable,1002
1002-212,212,2,486,16,YYY,Mechanical,Mechanical Area,Nonassignable,1002
1002-301,301,3,1103,36,YYY,Mechanical,Mechanical Area,Nonassignable,1002
1002-303,303,3,137,4,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-304,304,3,81,2,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-305,305,3,150,5,XXX,Building Service,Building Service Area,Nonassignable,1002
1002-306,306,3,35,1,YYY,Mechanical,Mechanical Area,Nonassignable,1002
1002-100PC1,100PC1,1,284,9,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-100PC2,100PC2,1,1584,52,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-100PC3,100PC3,1,492,16,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-100S1,100S1,1,95,3,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-100S3,100S3,1,260,8,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-100S5,100S5,1,111,3,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200PC1,200PC1,2,367,12,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200PC2,200PC2,2,1360,45,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200PC3,200PC3,2,743,24,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200PC4,200PC4,2,1105,36,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200S1,200S1,2,513,17,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200S2,200S2,2,198,6,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200S3,200S3,2,394,13,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200S4,200S4,2,190,6,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200S5,200S5,2,127,4,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-200S6,200S6,2,127,4,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-300PC1,300PC1,3,267,8,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-300PC2,300PC2,3,975,32,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-300S2,300S2,3,197,6,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-300S4,300S4,3,191,6,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-303A,303A,3,38,1,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-305A,305A,3,37,1,WWW,Circulation,Circulation Area,Nonassignable,1002
1002-ROOF,ROOF,4,0,0,YYY,Mechanical,Mechanical Area,Nonassignable,1002
1002-104,104,1,249,8,310,Office Facilities,Office,Office of The Chancellor,1002
1002-120,120,1,130,4,310,Office Facilities,Office,Office of The Chancellor,1002
1002-121,121,1,179,5,310,Office Facilities,Office,Office of The Chancellor,1002
1002-122,122,1,107,3,310,Office Facilities,Office,Office of The Chancellor,1002
1002-125,125,1,159,5,600,General Use Facilities,General Use Facilities,Office of The Chancellor,1002
1002-135,135,1,7,0,315,Office Facilities,Office Service,Office of The Chancellor,1002
1002-201,201,2,74,2,315,Office Facilities,Office Service,Office of The Chancellor,1002
1002-202,202,2,642,21,310,Office Facilities,Office,Office of The Chancellor,1002
1002-208,208,2,393,13,350,Office Facilities,Conference,Office of The Chancellor,1002
1002-210,210,2,97,3,310,Office Facilities,Office,Office of The Chancellor,1002
1002-202A,202A,2,204,6,350,Office Facilities,Conference,Office of The Chancellor,1002
1002-202B,202B,2,170,5,310,Office Facilities,Office,Office of The Chancellor,1002
1002-202C,202C,2,202,6,310,Office Facilities,Office,Office of The Chancellor,1002
1002-202D,202D,2,126,4,600,General Use Facilities,General Use Facilities,Office of The Chancellor,1002
1002-202E,202E,2,230,7,315,Office Facilities,Office Service,Office of The Chancellor,1002
1002-208A,208A,2,96,3,310,Office Facilities,Office,Office of The Chancellor,1002
1002-126,126,1,782,26,310,Office Facilities,Office,University of Hawaii Foundation,1002
1002-127,127,1,299,9,310,Office Facilities,Office,University of Hawaii Foundation,1002
1002-206,206,2,245,8,315,Office Facilities,Office Service,University of Hawaii Foundation,1002
1002-206A,206A,2,128,4,310,Office Facilities,Office,University of Hawaii Foundation,1002
1002-107,107,1,186,6,600,General Use Facilities,General Use Facilities,Vice Chancellor for Academic Affairs,1002
1002-108,108,1,309,10,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-110,110,1,603,20,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-123,123,1,68,2,315,Office Facilities,Office Service,Vice Chancellor for Academic Affairs,1002
1002-124,124,1,251,8,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209,209,2,802,26,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-311,311,3,175,5,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-107A,107A,1,107,3,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-110A,110A,1,58,1,315,Office Facilities,Office Service,Vice Chancellor for Academic Affairs,1002
1002-110B,110B,1,203,6,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-110C,110C,1,88,2,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-110D,110D,1,87,2,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-124A,124A,1,192,6,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209A,209A,2,161,5,315,Office Facilities,Office Service,Vice Chancellor for Academic Affairs,1002
1002-209B,209B,2,128,4,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209C,209C,2,191,6,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209D,209D,2,181,6,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209E,209E,2,115,3,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209F,209F,2,126,4,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209G,209G,2,126,4,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209H,209H,2,126,4,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209J,209J,2,217,7,350,Office Facilities,Conference,Vice Chancellor for Academic Affairs,1002
1002-209K,209K,2,188,6,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209L,209L,2,192,6,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-209M,209M,2,378,12,315,Office Facilities,Office Service,Vice Chancellor for Academic Affairs,1002
1002-311A,311A,3,183,6,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-311B,311B,3,117,3,310,Office Facilities,Office,Vice Chancellor for Academic Affairs,1002
1002-101,101,1,258,8,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-102,102,1,391,13,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-105,105,1,596,19,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-111,111,1,187,6,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-112,112,1,160,5,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-113,113,1,182,6,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-114,114,1,201,6,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-115,115,1,201,6,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-116,116,1,182,6,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-117,117,1,181,6,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-118,118,1,181,6,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-133,133,1,7,0,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-134,134,1,7,0,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-136,136,1,6,0,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-307,307,3,372,12,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-309,309,3,611,20,350,Office Facilities,Conference,Vice Chancellor for Administration Finance & Operations,1002
1002-102A,102A,1,116,3,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-103A,103A,1,177,5,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-105A,105A,1,14,0,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-105B,105B,1,14,0,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-307A,307A,3,72,2,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-307B,307B,3,104,3,315,Office Facilities,Office Service,Vice Chancellor for Administration Finance & Operations,1002
1002-307C,307C,3,120,4,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-307D,307D,3,217,7,310,Office Facilities,Office,Vice Chancellor for Administration Finance & Operations,1002
1002-103,103,1,609,20,310,Office Facilities,Office,Vice Chancellor for Research,1002
1002-119,119,1,132,4,310,Office Facilities,Office,Vice Chancellor for Research,1002
1002-211,211,2,514,17,310,Office Facilities,Office,Vice Chancellor for Research,1002
1002-103B,103B,1,9,0,315,Office Facilities,Office Service,Vice Chancellor for Research,1002
1002-211A,211A,2,203,6,310,Office Facilities,Office,Vice Chancellor for Research,1002
1002-211B,211B,2,214,7,310,Office Facilities,Office,Vice Chancellor for Research,1002
1002-109,109,1,155,5,YYY,Mechanical,Mechanical Area,Vice Chancellor for Students,1002
1002-207,207,2,96,3,YYY,Mechanical,Mechanical Area,Vice Chancellor for Students,1002
1002-308,308,3,98,3,YYY,Mechanical,Mechanical Area,Vice Chancellor for Students,1002
1005-101,101,1,114,3,250,Research Laboratory,Research Lab,College of Tropical Agriculture & Human Resources,1005
1005-102,102,1,131,4,310,Office Facilities,Office,College of Tropical Agriculture & Human Resources,1005
1005-103,103,1,524,17,250,Research Laboratory,Research Lab,College of Tropical Agriculture & Human Resources,1005
